a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
749077,http://www.banggo.com/goods/749077.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,91.9,91.9,96.9
749078,http://www.banggo.com/goods/749078.shtml,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,85.9,85.9,90.9
749080,http://www.banggo.com/goods/749080.shtml,113.9,113.9,113.9,,113.9,113.9,113.9,113.9,113.9,,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,113.9,107.9,107.9,113.9
749083,http://www.banggo.com/goods/749083.shtml,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,113.9,113.9,99.9
749084,http://www.banggo.com/goods/749084.shtml,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9
749096,http://www.banggo.com/goods/749096.shtml,119.9,119.9,119.9,,119.9,119.9,119.9,119.9,119.9,,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,119.9,77.935,105.9
749098,http://www.banggo.com/goods/749098.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
749099,http://www.banggo.com/goods/749099.shtml,198.9,198.9,198.9,198.9,198.9,198.9,198.9,198.9,198.9,,129.285,129.285,198.9,13.923000000000002,13.923000000000002,15.912,15.912,198.9,198.9,188.9,198.9,199.0
749102,http://www.banggo.com/goods/749102.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,139.0,,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
749103,http://www.banggo.com/goods/749103.shtml,198.9,198.9,198.9,,198.9,198.9,198.9,198.9,198.9,,129.285,129.285,198.9,13.923000000000002,13.923000000000002,15.912,15.912,198.9,198.9,188.9,108.9,199.0
749104,http://www.banggo.com/goods/749104.shtml,72.9,72.9,72.9,72.9,,72.9,72.9,69.9,139.0,,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
749105,http://www.banggo.com/goods/749105.shtml,72.9,72.9,72.9,72.9,72.9,72.9,72.9,69.9,139.0,,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
749106,http://www.banggo.com/goods/749106.shtml,79.9,79.9,79.9,79.9,79.9,79.9,79.9,69.9,69.9,,69.9,69.9,69.9,79.9,79.9,79.9,79.9,79.9,79.9,69.9,79.9,139.0
